ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
000300.SH,20240507,3659.0076,3657.0007,3665.684,3648.376,3657.8767,1.1309,0.0309,164834286.0,247368347.983
000300.SH,20240506,3657.8767,3654.0485,3668.2565,3645.738,3604.3943,53.4824,1.4838,208018007.0,333270472.13
000300.SH,20240430,3604.3943,3619.2586,3630.7092,3604.3943,3623.9124,-19.5181,-0.5386,191296899.0,286674161.758
000300.SH,20240429,3623.9124,3584.5427,3645.8229,3578.7597,3584.2686,39.6438,1.106,222721381.0,358709708.838
000300.SH,20240426,3584.2686,3531.9647,3588.4003,3531.9647,3530.2813,53.9873,1.5293,197216133.0,308045062.251
000300.SH,20240425,3530.2813,3510.6396,3543.9699,3505.1999,3521.6219,8.6594,0.2459,115187722.0,184524622.001
000300.SH,20240424,3521.6219,3514.0108,3524.537,3495.6494,3506.2249,15.397,0.4391,121739851.0,195299919.746
000300.SH,20240423,3506.2249,3525.6681,3533.7584,3499.9838,3530.9045,-24.6796,-0.699,143113504.0,213257232.211
000300.SH,20240422,3530.9045,3536.1844,3558.1642,3528.0186,3541.6619,-10.7574,-0.3037,150579042.0,229511183.118
000300.SH,20240419,3541.6619,3550.6087,3560.9492,3529.3237,3569.8018,-28.1399,-0.7883,147281505.0,226229520.121
000300.SH,20240418,3569.8018,3550.5562,3602.7902,3547.5996,3565.403,4.3988,0.1234,178574105.0,261329927.268
000300.SH,20240417,3565.403,3509.1318,3565.9389,3498.0324,3511.1146,54.2884,1.5462,168466398.0,244987812.753
000300.SH,20240416,3511.1146,3533.3636,3545.5034,3503.6158,3549.0759,-37.9613,-1.0696,176153065.0,253315972.272
000300.SH,20240415,3549.0759,3473.5047,3552.4125,3473.5047,3475.8389,73.237,2.107,183941250.0,267472484.531
000300.SH,20240412,3475.8389,3505.7499,3516.6988,3470.0611,3504.2447,-28.4058,-0.8106,128921116.0,208566204.703
000300.SH,20240411,3504.2447,3485.0294,3520.5893,3484.9252,3504.7086,-0.4639,-0.0132,126534395.0,200293481.886
000300.SH,20240410,3504.7086,3528.9679,3531.2295,3490.0525,3533.4871,-28.7785,-0.8145,128790274.0,199754768.626
000300.SH,20240409,3533.4871,3533.3849,3543.7141,3518.8601,3536.4077,-2.9206,-0.0826,129670942.0,195893525.575
000300.SH,20240408,3536.4077,3553.5554,3567.82,3535.7688,3567.8031,-31.3954,-0.88,155304283.0,243249251.687
000300.SH,20240403,3567.8031,3578.6835,3582.4324,3558.874,3580.6759,-12.8728,-0.3595,135592331.0,214222897.58
000300.SH,20240402,3580.6759,3593.2206,3596.1903,3568.7539,3595.6466,-14.9707,-0.4164,141272972.0,220207515.543
000300.SH,20240401,3595.6466,3551.5815,3600.9193,3551.5815,3537.4843,58.1623,1.6442,162776561.0,251637272.845
000300.SH,20240329,3537.4843,3516.883,3538.2378,3516.883,3520.9648,16.5195,0.4692,128643290.0,201749384.357
000300.SH,20240328,3520.9648,3498.482,3551.2143,3489.3861,3502.7866,18.1782,0.519,143334717.0,232530806.335
000300.SH,20240327,3502.7866,3538.7244,3542.9624,3502.7866,3543.7467,-40.9601,-1.1558,128626763.0,216404726.566
000300.SH,20240326,3543.7467,3526.6818,3547.6461,3518.6018,3525.7634,17.9833,0.5101,126209535.0,226730734.844
000300.SH,20240325,3525.7634,3536.7136,3564.9604,3525.7634,3545.0023,-19.2389,-0.5427,137015724.0,233747256.235
000300.SH,20240322,3545.0023,3571.2736,3575.7171,3522.8404,3581.0902,-36.0879,-1.0077,139227358.0,248850931.022
000300.SH,20240321,3581.0902,3593.07,3601.1145,3575.0331,3585.3838,-4.2936,-0.1198,130743377.0,233162492.63
000300.SH,20240320,3585.3838,3568.7158,3589.5456,3568.4341,3577.6303,7.7535,0.2167,129528966.0,223752103.886
000300.SH,20240319,3577.6303,3593.3396,3610.7389,3577.188,3603.528,-25.8977,-0.7187,145571786.0,259553448.413
